S.No.,Project Details and Address,Project Completion Date,Location of Site
1," - Construction of Registration of Residential Multi Dwelling Building (Affordable Housing) Stilt Floor + 4 Floors Residential Building with 48 dwelling units at Plot Nos.59, 60, 61, 62, 63, R.S.Nos.249/1A17, 249/1A18, 249/1A19, 249/1A20, 249/1A21 of Mithilapuri Nagar, Govindapuram Village, Thiruvidaimaruthur Taluk, Thanjavur District.",31.12.2024, Latitude-10§59?54.8?N; Longitude-79§27?44.0?E;
2," - Construction of Registration of Residential Multi Dwelling Building (Affordable Housing) Stilt Floor + 5 Floors Residential Building with 40 dwelling units at Plot No.53, R.S.No.250/1T of Mithilapuri Nagar, Govindapuram Village, Thiruvidaimaruthur Taluk, Thanjavur District.",31.12.2024, Latitude-10§59?54.8?N; Longitude-79§27?44.0?E;
3," - Construction of Registration of Residential Multi Dwelling Building (Affordable Housing) Stilt Floor + 4 Floors Residential Building with 36 dwelling units at Plot Nos.54, 55, 56, 57, 58, R.S.Nos.249/1A22, 249/1A23, 250/1P, 250/1Q, 250/1R, 250/1S of Mithilapuri Nagar, Govindapuram Village, Thiruvidaimaruthur Taluk, Thanjavur District.",31.12.2024, Latitude-10§59?54.8?N; Longitude-79§27?44.0?E;
4," - Construction of Registration of Residential Multi Dwelling Building (Affordable Housing) Stilt Floor + 5 Floors Residential Building with 25 dwelling units at Plot Nos.23, 24, 25, 26, R.S.No.249/1A1 of Mithilapuri Nagar, Govindapuram Village, Thiruvidaimaruthur Taluk, Thanjavur District.",31.12.2024, Latitude-10§59?54.8?N; Longitude-79§27?44.0?E;
5," - Construction of Registration of Residential Multi Dwelling Building (Affordable Housing) Stilt Floor + 5 Floors Residential Building with 25 dwelling units at Plot Nos.27, 28, 29, 30, R.S.No.249/1A1 of Mithilapuri Nagar, Govindapuram Village, Thiruvidaimaruthur Taluk, Thanjavur District.",31.12.2024, Latitude-10§59?54.8?N; Longitude-79§27?44.0?E;
6," - Construction of Stilt + 3 Floors with 09 Dwelling Units comprised in Door No.91/44, A.K.Samy Nagar, 4th Street, Kilpauk, Chennai.",06.12.2027, Latitude-13§09?19.0?N; Longitude-80§24?18.9?E;
7," - Construction of Basement Floor + Stilt Floor + 1st Floor to 9 Floor comprised in S.No.271/2 of Keeranatham Village, Annur Taluk, Coimbatore District.",13.11.2027, Latitude-11§6?46.32?N; Longitude-76§59?23.50?E;
8," - Construction of Registration of Phase-4A consisting of 6 Blocks of Block?M1: Stilt Floor + 11 Floors Residential Building with 88 dwelling units, Block?M2: Stilt Floor + 11 Floors Residential Building with 88 dwelling units, Block?M3: Stilt Floor + 11 Floors Residential Building with 88 dwelling units, Block?K: Stilt Floor + 12 Floors Residential Building with 288 dwelling units, Block?P4: Stilt Floor + 11 Floors Residential Building with 132 dwelling units, Block?EWS15: Stilt Floor + 10 Floors Residential Building with 80 dwelling units and Block-MLCP1: Stilt Floor + 2 Floors + Terrace Level for Parking (Total 7 Blocks) comprised in S.Nos.1/1B1, 1/1B2, 1/2, 2/1, 2/2, 2/3, 2/4, 2/5, 3/1, 3/2A, 3/2B1, 3/2B2, 3/2C, 4/1A, 4/1B, 4/1C, 4/2A1, 4/2A2, 4/2B1, 4/2B2, 4/3A, 4/3B, 4/3C, 4/3D, 4/3E, 4/3F, 4/4, 6/1A, 6/1B, 6/2A, 6/2B, 6/2C, 6/3A, 6/3B, 7/1, 7/2, 8/1A, 8/1B, 8/2A1, 8/2A2, 8/2B1, 8/2B2, 8/3, 8/4, 8/5, 9/1A, 9/1B, 9/1C, 9/1D1, 9/1D2, 9/1E, 9/2A, 9/2B, 10/1, 10/2, 11/1, 11/3A, 11/3B, 11/4A, 11/4B, 11/4C, 12/1, 12/2, 12/3, 13/1A, 13/1B, 13/2, 13/3, 13/4A1, 13/4A2, 13/4B, 14, 15, 16, 17, 18/1A, 18/1B, 18/2, 19/1A, 19/1B, 19/1C, 19/2A, 19/2B, 19/3A1, 29/2A1, 29/2A2, 29/2B1, 29/2B2, 30/1A, 30/1B, 30/2A, 30/2B, 31/1, 31/2B2, 87/1B2, 87/1B3A, 89/1A, 89/1B, 89/2, 90/1, 90/2, 90/3, 90/4, 90/5, 90/6A, 90/6B2, 92/1A, 92/1B, 92/2, 93/1, 93/2, 93/3A, 93/3B, 93/4, 94/1, 101/1, 101/2A, 101/2B (as per FMB 101/3), 102/2, 102/3, 102/4A1, 102/4A2, 102/4B, 102/5A, 102/5B, 103/1, 103/2, 104/1, 104/2, 106/1A, 106/1B1, 106/1B2, 106/2A, 106/2B, 108/2 of Medavakkam Village within the limit of St.Thomas Mount Panchayat Union and S.Nos.294/1, 294/2, 294/3, 295/1A, 295/1B, 295/2, 295/3A, 295/3B, 295/4A, 295/4B1, 295/4B2B (as per FMB 295/4B2), 295/5A1, 295/5A2, 295/6A, 295/6B, 296, 297, 298/2A, 298/2B, 301/1A, 301/1B, 301/2A, 301/2B of Pallikaranai Village, Chennai District.",31.12.2027,
9," - Construction of Registration of Phase-4B consisting of 5 Blocks of Block?M4: Stilt Floor + 12 Floors Residential Building with 96 dwelling units, Block?M5: Stilt Floor + 12 Floors Residential Building with 96 dwelling units, Block?L: Stilt Floor + 12 Floors Residential Building with 288 dwelling units, Block?P3: Stilt Floor + 11 Floors Residential Building with 132 dwelling units, Block?EWS16: Stilt Floor + 7 Floors Residential Building with 56 dwelling units comprised in S.Nos.1/1B1, 1/1B2, 1/2, 2/1, 2/2, 2/3, 2/4, 2/5, 3/1, 3/2A, 3/2B1, 3/2B2, 3/2C, 4/1A, 4/1B, 4/1C, 4/2A1, 4/2A2, 4/2B1, 4/2B2, 4/3A, 4/3B, 4/3C, 4/3D, 4/3E, 4/3F, 4/4, 6/1A, 6/1B, 6/2A, 6/2B, 6/2C, 6/3A, 6/3B, 7/1, 7/2, 8/1A, 8/1B, 8/2A1, 8/2A2, 8/2B1, 8/2B2, 8/3, 8/4, 8/5, 9/1A, 9/1B, 9/1C, 9/1D1, 9/1D2, 9/1E, 9/2A, 9/2B, 10/1, 10/2, 11/1, 11/3A, 11/3B, 11/4A, 11/4B, 11/4C, 12/1, 12/2, 12/3, 13/1A, 13/1B, 13/2, 13/3, 13/4A1, 13/4A2, 13/4B, 14, 15, 16, 17, 18/1A, 18/1B, 18/2, 19/1A, 19/1B, 19/1C, 19/2A, 19/2B, 19/3A1, 29/2A1, 29/2A2, 29/2B1, 29/2B2, 30/1A, 30/1B, 30/2A, 30/2B, 31/1, 31/2B2, 87/1B2, 87/1B3A, 89/1A, 89/1B, 89/2, 90/1, 90/2, 90/3, 90/4, 90/5, 90/6A, 90/6B2, 92/1A, 92/1B, 92/2, 93/1, 93/2, 93/3A, 93/3B, 93/4, 94/1, 101/1, 101/2A, 101/2B (as per FMB 101/3), 102/2, 102/3, 102/4A1, 102/4A2, 102/4B, 102/5A, 102/5B, 103/1, 103/2, 104/1, 104/2, 106/1A, 106/1B1, 106/1B2, 106/2A, 106/2B, 108/2 of Medavakkam Village within the limit of St.Thomas Mount Panchayat Union and S.Nos.294/1, 294/2, 294/3, 295/1A, 295/1B, 295/2, 295/3A, 295/3B, 295/4A, 295/4B1, 295/4B2B (as per FMB 295/4B2), 295/5A1, 295/5A2, 295/6A, 295/6B, 296, 297, 298/2A, 298/2B, 301/1A, 301/1B, 301/2A, 301/2B of Pallikaranai Village, Chennai District.",31.12.2028,
10," - Construction of Registration of Phase-4C consisting of 6 Blocks of Block?M6: Stilt Floor + 12 Floors Residential Building with 96 dwelling units, Block?M7: Stilt Floor + 12 Floors Residential Building with 96 dwelling units, Block?P1: Stilt Floor + 12 Floors Residential Building with 144 dwelling units, Block?P2: Stilt Floor + 12 Floors Residential Building with 142 dwelling units, Block?Club House: Ground Floor + First Floor with Swimming Pool, Block?Commercial: Ground Floor + 1st Floor Building and Block-MLCP2: Stilt Floor + 2 Floors + Terrace Level for Parking (Total 7 Blocks) comprised in S.Nos.1/1B1, 1/1B2, 1/2, 2/1, 2/2, 2/3, 2/4, 2/5, 3/1, 3/2A, 3/2B1, 3/2B2, 3/2C, 4/1A, 4/1B, 4/1C, 4/2A1, 4/2A2, 4/2B1, 4/2B2, 4/3A, 4/3B, 4/3C, 4/3D, 4/3E, 4/3F, 4/4, 6/1A, 6/1B, 6/2A, 6/2B, 6/2C, 6/3A, 6/3B, 7/1, 7/2, 8/1A, 8/1B, 8/2A1, 8/2A2, 8/2B1, 8/2B2, 8/3, 8/4, 8/5, 9/1A, 9/1B, 9/1C, 9/1D1, 9/1D2, 9/1E, 9/2A, 9/2B, 10/1, 10/2, 11/1, 11/3A, 11/3B, 11/4A, 11/4B, 11/4C, 12/1, 12/2, 12/3, 13/1A, 13/1B, 13/2, 13/3, 13/4A1, 13/4A2, 13/4B, 14, 15, 16, 17, 18/1A, 18/1B, 18/2, 19/1A, 19/1B, 19/1C, 19/2A, 19/2B, 19/3A1, 29/2A1, 29/2A2, 29/2B1, 29/2B2, 30/1A, 30/1B, 30/2A, 30/2B, 31/1, 31/2B2, 87/1B2, 87/1B3A, 89/1A, 89/1B, 89/2, 90/1, 90/2, 90/3, 90/4, 90/5, 90/6A, 90/6B2, 92/1A, 92/1B, 92/2, 93/1, 93/2, 93/3A, 93/3B, 93/4, 94/1, 101/1, 101/2A, 101/2B (as per FMB 101/3), 102/2, 102/3, 102/4A1, 102/4A2, 102/4B, 102/5A, 102/5B, 103/1, 103/2, 104/1, 104/2, 106/1A, 106/1B1, 106/1B2, 106/2A, 106/2B, 108/2 of Medavakkam Village within the limit of St.Thomas Mount Panchayat Union and S.Nos.294/1, 294/2, 294/3, 295/1A, 295/1B, 295/2, 295/3A, 295/3B, 295/4A, 295/4B1, 295/4B2B (as per FMB 295/4B2), 295/5A1, 295/5A2, 295/6A, 295/6B, 296, 297, 298/2A, 298/2B, 301/1A, 301/1B, 301/2A, 301/2B of Pallikaranai Village, Chennai District.",31.12.2029,
11," - Construction of Registration of Stilt + 4 Floors Residential Building with 16 dwelling units comprising in S.Nos.686/2, 3, 4, 5, 6, 7, 8, 254/1A1 and 255/1C2 of Kuniyamuthur Village, Perur Taluk, Coimbatore District.",December 2023,
12,,Completed, Latitude-13§00?46.2?N; Longitude-80§12?27.6?E;
13," - Construction of Registration of extended Basement Floor + Stilt Floor + 1st Floor (Parking) + 2nd Floor to 13th Floor + 14th Floor (Part) Residential Building with 149 dwelling units and Open Swimming Pool, Gym, Indoor Games, Home Theater, Room & Party Hall at 14th Floor at D.No.141, Rajiv Gandhi Salai (OMR), Kottivakkam, Chennai comprised in S.Nos.280/2A1, 280/2B1, 280/5A, 280/5B, 280/5C of Kottivakkam Village, Chennai District.",December 2025,
14,Project Details and Address,31.12.2024, Latitude-15§55?N; Longitude-80§13?E;
15," - Construction of Stilt Floor + 4 Floors with 32 dwelling units comprised in S.Nos.308/79, 308/80 of Mevalurkuppam ?B? Village, Sriperumbudur Taluk, Kancheepuram District.",31.12.2023, Latitude-13§2?N; Longitude-80§0?E;
16," - Construction of Block-2: Stilt + 4 Floors, Office building to existing (approved) Block-1: Double Basement Floor + Ground Floor + 3 Floors office building at Door No.3/1, Club House Road, Royapettah, Chennai - 600002 comprised in Old R.S.Nos.314/3, 157/2B, New R.S.Nos.314/3, 314/14, Block No.9 of Triplicane Village, Chennai District.",Completed, Latitude-13§03?40.7?N; Longitude-80§15?48.7?E;
17,,,
18," - Construction of Registration of Stilt Floor + 4 Floors + 5th Floor (Part) Residential Building with 10 dwelling units availing Premium FSI at Block:A-4, G.O.C.H. Colony, 2nd Main Road & 6th Cross Street, Besant Nagar, Chennai ? 600090 comprised in T.S.No.8/12, Block No.40 of Urur Village within the limit of Greater Chennai Corporation.",31.07.2025,
19," - Construction of Stilt Floor + 3 Floors with 12 dwelling units at Plot No.11, R.R.Nagar 1st Street, Raja Rathinam Nagar, Ayyappanthangal, Chennai comprised in Old S.Nos.12/1 & 13, New S.Nos.12/1A, 12/1B & 13/1B of Srinivasapuram Village.",31.12.2023, Latitude-13§03?53.9?N; Longitude-80§13?14.3?E;
